Time,Entity2,Entity2,Entity2,Entity2,Entity2,Entity2,Entity1,Entity1,Entity1,Entity1,Entity1,Entity1,Entity0,Entity0,Entity0,Entity0,Entity0,Entity0,Entity4,Entity4,Entity4,Entity4,Entity4,Entity4,Entity3,Entity3,Entity3,Entity3,Entity3,Entity3
33.50006,-199.36452,53587.55,604.68164,-3.2613864,-2.7736611,8.999816,-309.5757,35234.48,17.572166,-4.6734314,-1.4202466,0.19962785,-36.42951,-59474.82,-8.599945,-0.39572367,3.6625643,-0.19160034,-234.54573,-118648.02,446.58917,-2.7787185,7.6724443,6.541501,297.54346,161626.16,115.856995,3.7416568,-10.402267,1.6985174
33.60006,-312.8899,53498.617,906.5675,-3.495261,-2.517094,8.967393,-469.04645,35192.78,24.265396,-4.817722,-1.0598428,0.19873025,-45.129665,-59351.367,-15.029983,-0.12207216,3.6822267,-0.19109337,-318.60898,-118386.914,666.00934,-2.224422,7.862427,6.5176306,410.6079,161272.19,172.83008,2.9875302,-10.657794,1.6923239
33.700058,-434.56216,53418.37,1208.039,-3.7247705,-2.2421145,8.92189,-633.74475,35163.31,30.943407,-4.9554663,-0.6876246,0.19754224,-44.615868,-59227.234,-21.457386,0.1525702,3.6810656,-0.19030823,-384.1584,-118119.336,885.1179,-1.6652555,8.01057,6.484253,498.4811,160909.52,229.72241,2.2268348,-10.856387,1.6836617
33.800056,-564.27405,53347.492,1508.6449,-3.9495358,-1.9489657,8.863258,-803.4733,35146.523,37.596153,-5.086402,-0.30403808,0.19606298,-34.806206,-59103.125,-27.8726,0.42780492,3.6588955,-0.18924358,-430.9306,-117846.67,1103.5873,-1.1020054,8.116275,6.441332,560.8068,160540.02,286.4489,1.4606397,-10.997243,1.6725215
33.900055,-701.90326,53286.65,1807.9296,-4.1691794,-1.6379236,8.791468,-978.02356,35142.88,44.213493,-5.210273,0.09044546,0.19429211,-15.632917,-58979.76,-34.265953,0.7032267,3.6155639,-0.18789853,-458.6895,-117570.34,1321.0858,-0.5354751,8.179009,6.3888474,597.26556,160165.66,342.92346,0.69003916,-11.079639,1.658898
34.000053,-847.314,53236.5,2105.4321,-4.3833265,-1.3092954,8.706509,-1157.1766,35152.81,50.785183,-5.32683,0.4953314,0.19222969,12.95874,-58857.87,-40.627655,0.9784241,3.5509467,-0.18627259,-467.22385,-117291.805,1537.2786,0.03351468,8.1982975,6.326792,607.57196,159788.38,399.05914,-0.083850265,-11.102932,1.6427896
34.10005,-1000.3557,53197.703,2400.688,-4.5916047,-0.963421,8.608393,-1340.7029,35176.75,57.300907,-5.435833,0.91010106,0.18987623,51.009007,-58738.188,-46.94783,1.2529801,3.4649532,-0.18436573,-456.3505,-117012.54,1751.828,0.6041274,8.173724,6.255175,591.47894,159410.22,454.76825,-0.8598904,-11.066562,1.6241984
34.20005,-1160.8636,53170.91,2693.2297,-4.7936463,-0.60067284,8.497153,-1528.3627,35215.105,63.750282,-5.53705,1.3342125,0.18723275,98.54364,-58621.465,-53.216526,1.5264726,3.357525,-0.18217838,-425.9148,-116734.05,1964.394,1.1755118,8.104939,6.1740212,548.77795,159033.23,509.96252,-1.6369228,-10.9700575,1.6031309
34.30005,-1328.6587,53156.766,2982.587,-4.989089,-0.22145596,8.372844,-1719.9062,35268.273,70.12289,-5.6302576,1.7671009,0.1843007,155.57358,-58508.45,-59.42372,1.7984747,3.2286375,-0.17971137,-375.791,-116457.87,2174.635,1.746803,7.991659,6.08337,479.30014,158659.48,564.5532,-2.4137712,-10.813037,1.5795974
34.400047,-1503.5477,53155.906,3268.2874,-5.177574,0.17379293,8.23554,-1915.0739,35336.63,76.40827,-5.715243,2.2081795,0.18108208,222.09503,-58399.91,-65.55935,2.068556,3.078299,-0.17696606,-305.8825,-116185.55,2382.2078,2.3171237,7.833666,5.983277,382.91605,158291.1,618.4513,-3.1892414,-10.595209,1.5536121
34.500046,-1685.3226,53168.95,3549.8584,-5.3587503,0.58460426,8.0853405,-2113.5957,35420.535,82.59597,-5.791803,2.6568391,0.17757931,298.08835,-58296.61,-71.61333,2.3362834,2.9065542,-0.17394422,-216.12405,-115918.664,2586.7688,2.8855848,7.6308117,5.8738136,259.53885,157930.19,671.5675,-3.9621253,-10.316377,1.5251938
34.600044,-1873.7614,53196.508,3826.8274,-5.5322723,1.0104765,7.922366,-2315.1934,35520.33,88.67553,-5.8597445,3.1124501,0.17379537,383.51825,-58199.324,-77.57554,2.6012206,2.7134826,-0.17064816,-106.481766,-115658.8,2787.974,3.4512887,7.3830204,5.7550683,109.12459,157578.95,723.81256,-4.7312007,-9.97644,1.4943653
34.700043,-2068.6284,53239.176,4098.7217,-5.6978035,1.450876,7.746759,-2519.579,35636.332,94.63653,-5.918887,3.5743618,0.16973372,478.3336,-58108.824,-83.43589,2.86293,2.4992,-0.16708061,23.046202,-115407.555,2985.481,4.0133286,7.090287,5.6271453,-68.32716,157239.56,775.0974,-5.4952354,-9.575399,1.4611539
34.80004,-2269.6738,53297.535,4365.0713,-5.8550143,1.9052379,7.558686,-2726.4565,35768.84,100.46859,-5.969062,4.0419044,0.1653983,582.467,-58025.887,-89.1843,3.120973,2.2638586,-0.16324483,172.42908,-115166.56,3178.9473,4.570791,6.7526817,5.4901657,-272.7725,156914.2,825.3333,-6.2529864,-9.113353,1.4255908
34.90004,-2476.6335,53372.16,4625.407,-6.0035844,2.3729665,7.3583345,-2935.5205,35918.14,106.161385,-6.010112,4.514389,0.1607936,695.835,-57951.293,-94.81073,3.3749108,2.0076468,-0.15914454,341.60364,-114937.44,3368.033,5.122757,6.3703475,5.344268,-504.1233,156605.1,874.4319,-7.003204,-8.5905,1.3877119
35.00004,-2689.2302,53463.59,4879.2646,-6.1432037,2.8534353,7.1459174,-3146.4585,36084.48,111.70467,-6.041892,4.991109,0.15592459,818.3374,-57885.812,-100.3052,3.6243048,1.7307913,-0.15478395,530.47217,-114721.83,3552.4,5.668303,5.943505,5.1896048,-762.24457,156314.45,922.30536,-7.7446322,-8.007146,1.3475572
35.100037,-2907.1733,53572.36,5126.1836,-6.273573,3.345987,6.92167,-3358.9497,36268.09,117.08835,-6.064274,5.471339,0.15079674,949.85736,-57830.223,-105.65781,3.8687181,1.4335561,-0.1501678,738.90265,-114521.35,3731.7136,6.206504,5.472452,5.026349,-1046.9546,156044.53,968.8669,-8.476013,-7.363701,1.3051711
35.200035,-3130.159,53698.98,5365.7075,-6.394403,3.8499355,6.68585,-3572.6667,36469.176,122.30238,-6.07714,5.9543405,0.1454161,1090.2611,-57785.29,-110.85875,4.1077166,1.1162434,-0.14530127,966.72845,-114337.66,3905.643,6.736433,4.957566,4.8546886,-1358.0247,155797.53,1014.03046,-9.196087,-6.6606827,1.2606027
35.300034,-3357.8718,53843.94,5597.387,-6.5054173,4.3645654,6.4387383,-3787.2761,36687.92,127.33692,-6.0803876,6.439357,0.13978915,1239.3988,-57751.78,-115.89834,4.3408675,0.7791925,-0.1401901,1213.7489,-114172.38,4073.8613,7.2571645,4.3993,4.674828,-1695.1796,155575.7,1057.7113,-9.903596,-5.8987126,1.213905
35.400032,-3589.9814,54007.707,5820.7803,-6.6063523,4.889133,6.18064,-4002.4365,36924.484,132.18228,-6.07393,6.925619,0.13392295,1397.1024,-57730.45,-120.76704,4.567744,0.42278266,-0.13484047,1479.7258,-114027.164,4236.0474,7.767776,3.798192,4.4869895,-2058.0935,155381.23,1099.826,-10.597285,-5.078527,1.1651356
35.50003,-3826.1475,54190.723,6035.4517,-6.6969576,5.4228673,5.9118824,-4217.802,37178.99,136.82893,-6.057695,7.412345,0.127825,1563.1879,-57722.05,-125.455444,4.787921,0.04742974,-0.1292591,1764.3876,-113903.63,4391.8853,8.267348,3.1548567,4.2914114,-2446.395,155216.38,1140.2925,-11.275907,-4.2009664,1.1143565
35.60003,-4066.0166,54393.41,6240.975,-6.7769976,5.964971,5.6328163,-4433.021,37451.53,141.26758,-6.031626,7.89874,0.121503346,1737.454,-57727.32,-129.95433,5.000982,-0.3464114,-0.12345314,2067.4258,-113803.39,4541.0654,8.754969,2.4699905,4.0883484,-2859.6624,155083.28,1179.0304,-11.938219,-3.2669826,1.0616338
35.700027,-4309.2256,54616.152,6436.9346,-6.8462496,6.5146217,5.3438134,-4647.739,37742.188,145.48915,-5.9956837,8.384,0.114966504,1919.683,-57746.99,-134.25468,5.2065144,-0.7582483,-0.11743029,2388.4968,-113728.05,4683.285,9.2297325,1.7443705,3.878072,-3297.4263,154984.16,1215.9613,-12.582992,-2.277637,1.0070381
35.800026,-4555.398,54859.32,6622.925,-6.904509,7.070971,5.0452695,-4861.5923,38051.0,149.4848,-5.9498434,8.867311,0.10822351,2109.639,-57781.773,-138.34772,5.4041147,-1.1875494,-0.1111987,2727.2192,-113679.19,4818.251,9.690743,0.9788571,3.6608703,-3759.1658,154921.14,1251.0085,-13.209008,-1.234105,0.95064414
35.900024,-4804.149,55123.25,6798.552,-6.951586,7.6331487,4.737602,-5074.22,38377.977,153.24597,-5.8940983,9.34785,0.10128386,2307.071,-57832.37,-142.22484,5.593387,-1.6337464,-0.104766995,3083.178,-113658.375,4945.6763,10.137118,0.17438954,3.4370468,-4244.3145,154896.38,1284.0981,-13.815068,-0.13766837,0.89253056
36.000023,-5055.084,55408.246,6963.434,-6.9873075,8.200261,4.4212503,-5285.2554,38723.098,156.7644,-5.8284593,9.82479,0.09415753,2511.7112,-57899.47,-145.87775,5.773944,-2.0962334,-0.09814427,3455.9216,-113667.16,5065.284,10.567985,-0.6680106,3.2069209,-4752.256,154911.94,1315.1581,-14.399988,1.010279,0.8327805
36.10002,-5307.798,55714.58,7117.204,-7.011519,8.771395,4.0966744,-5494.3296,39086.32,160.03214,-5.752954,10.297297,0.08685498,2723.275,-57983.73,-149.29842,5.945409,-2.5743673,-0.091340095,3844.962,-113707.04,5176.808,10.982489,-1.5472411,2.9708278,-5282.3247,154969.9,1344.119,-14.962606,2.2082336,0.7714808
36.20002,-5561.8774,56042.496,7259.5083,-7.024082,9.345615,3.764355,-5701.071,39467.562,163.04153,-5.6676273,10.764532,0.07938709,2941.4612,-58085.812,-152.47911,6.1074147,-3.0674694,-0.08436447,4249.776,-113779.51,5279.9917,11.37979,-2.462121,2.7291174,-5833.807,155072.27,1370.9144,-15.501783,3.4545848,0.7087224
36.30002,-5816.9023,56392.203,7390.01,-7.0248804,9.921971,3.4247937,-5905.1084,39866.707,165.78534,-5.5725436,11.225657,0.07176522,3165.9543,-58206.332,-155.41243,6.259608,-3.5748234,-0.07722785,4669.805,-113886.02,5374.5894,11.759072,-3.4113872,2.482155,-6405.9424,155221.02,1395.4807,-16.016407,4.7476106,0.6446002
36.400017,-6072.442,56763.88,7508.3867,-7.0138135,10.499493,3.0785124,-6106.0703,40283.613,168.25664,-5.467785,11.679832,0.06400113,3396.4214,-58345.9,-158.0913,6.4016457,-4.0956798,-0.069941126,5104.4565,-114027.984,5460.3687,12.119534,-4.3937006,2.2303197,-6997.922,155418.06,1417.7572,-16.50539,6.0854864,0.5792125
